INFO 2025-02-19 21:56:18,622 autoreload Watching for file changes with StatReloader
DEBUG 2025-02-19 21:56:18,989 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\db\backends\base\validation.py first seen with mtime 1739825269.8283527
DEBUG 2025-02-19 21:56:18,989 autoreload File C:\Users\Smart\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\reduction.py first seen with mtime 1666629248.0
DEBUG 2025-02-19 21:56:18,990 autoreload File C:\Users\Smart\AppData\Local\Programs\Python\Python311\Lib\concurrent\__init__.py first seen with mtime 1666629248.0
DEBUG 2025-02-19 21:56:18,990 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\core\files\images.py first seen with mtime 1739825269.800355
DEBUG 2025-02-19 21:56:18,990 autoreload File C:\Users\Smart\AppData\Local\Programs\Python\Python311\Lib\email\feedparser.py first seen with mtime 1666629248.0
DEBUG 2025-02-19 21:56:18,991 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\utils\translation\__init__.py first seen with mtime 1739825269.933352
DEBUG 2025-02-19 21:56:18,991 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\db\models\__init__.py first seen with mtime 1739825269.8503528
DEBUG 2025-02-19 21:56:18,991 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\core\cache\backends\base.py first seen with mtime 1739825269.792353
DEBUG 2025-02-19 21:56:18,992 autoreload File C:\Users\Smart\AppData\Local\Programs\Python\Python311\Lib\asyncio\base_tasks.py first seen with mtime 1666629248.0
DEBUG 2025-02-19 21:56:18,992 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\contrib\admin\apps.py first seen with mtime 1739825268.6801984
DEBUG 2025-02-19 21:56:18,992 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\rest_framework\exceptions.py first seen with mtime 1739825849.5271525
DEBUG 2025-02-19 21:56:18,993 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\rest_framework\utils\representation.py first seen with mtime 1739825849.9158025
DEBUG 2025-02-19 21:56:18,993 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\template\backends\django.py first seen with mtime 1739825269.909353
DEBUG 2025-02-19 21:56:18,993 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\contrib\auth\management\__init__.py first seen with mtime 1739825269.099196
DEBUG 2025-02-19 21:56:18,994 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\utils\duration.py first seen with mtime 1739825269.925353
